Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureBucket,PromotionGapRatio,IncomePerJobLevel,AttritionRiskScore,RiskTier
47,0,Travel_Rarely,646,Research & Development,25,1,Human Resources,2,Female,76,2,1,Research Scientist,2,Single,12251,22799,1,No,14,4,3,1,19,3,3,15,8,12,0,10+yrs,0.75,12251.0,0.08,Low
45,0,Travel_Rarely,587,Research & Development,14,3,Other,3,Female,81,2,2,Research Scientist,3,Married,5833,3851,0,No,15,3,1,0,18,4,1,15,3,12,12,10+yrs,0.75,2916.5,0.08,Low
46,0,Travel_Rarely,214,Research & Development,28,1,Life Sciences,4,Female,33,2,1,Research Scientist,1,Divorced,8206,4460,7,No,11,4,2,0,4,5,2,1,1,0,1,0-2yrs,0.0,8206.0,0.05,Low
43,0,Non-Travel,893,Research & Development,9,4,Other,1,Male,73,3,3,Healthcare Representative,1,Divorced,11325,12157,3,No,14,3,2,3,14,0,3,14,12,8,11,10+yrs,0.5333333333333333,3775.0,0.10333333333333333,Low
20,0,Travel_Rarely,1007,Research & Development,10,1,Medical,4,Male,67,3,3,Sales Representative,3,Married,4548,7813,1,No,18,3,4,2,24,1,1,24,2,20,1,10+yrs,0.8,1516.0,0.07666666666666666,Low
44,0,Travel_Rarely,493,Sales,2,3,Marketing,1,Male,97,1,3,Laboratory Technician,3,Married,11809,2580,8,No,20,3,4,3,3,4,3,0,0,0,0,0-2yrs,0.0,3936.3333333333335,0.05,Low
54,1,Travel_Frequently,1123,Research & Development,22,2,Medical,1,Female,81,4,4,Research Director,1,Married,3623,7379,2,Yes,23,3,4,1,11,0,1,11,11,7,1,10+yrs,0.5833333333333334,905.75,0.32666666666666666,Low
45,0,Travel_Rarely,1413,Sales,3,3,Life Sciences,3,Male,93,2,4,Manufacturing Director,4,Single,3708,8777,5,Yes,19,3,2,3,16,3,2,12,0,9,11,10+yrs,0.6923076923076923,927.0,0.13333333333333333,Low
42,0,Travel_Rarely,343,Human Resources,9,2,Human Resources,4,Female,32,1,4,Sales Representative,3,Single,5500,24991,2,No,24,4,1,3,26,2,1,22,10,21,6,10+yrs,0.9130434782608695,1375.0,0.30333333333333334,Low
27,0,Travel_Rarely,901,Research & Development,27,1,Marketing,3,Male,83,3,2,Healthcare Representative,1,Single,6443,21557,5,Yes,18,4,3,1,9,1,3,7,7,2,7,6-10yrs,0.25,3221.5,0.09666666666666666,Low
51,0,Travel_Rarely,1072,Research & Development,18,4,Technical Degree,1,Female,53,1,1,Sales Representative,4,Single,1566,10777,6,No,23,3,1,0,14,3,4,11,9,3,4,10+yrs,0.25,1566.0,0.10666666666666667,Low
36,1,Travel_Rarely,125,Research & Development,17,4,Marketing,1,Female,68,4,1,Human Resources,4,Divorced,19270,25950,6,No,22,3,3,3,19,3,1,17,4,9,1,10+yrs,0.5,19270.0,0.8733333333333333,High
29,0,Travel_Rarely,350,Sales,24,1,Human Resources,4,Male,91,4,2,Human Resources,2,Married,6854,22911,3,No,17,3,2,1,5,4,4,1,1,0,1,0-2yrs,0.0,3427.0,0.02666666666666667,Low
38,0,Travel_Rarely,653,Research & Development,23,1,Other,3,Male,90,3,3,Manager,2,Married,16287,8266,5,No,23,3,2,1,20,4,3,20,4,16,12,10+yrs,0.7619047619047619,5429.0,0.08333333333333333,Low
23,1,Travel_Frequently,292,Research & Development,26,3,Technical Degree,1,Male,45,4,1,Human Resources,2,Single,18137,13950,7,No,23,3,1,3,21,5,4,20,2,13,12,10+yrs,0.6190476190476191,18137.0,0.8633333333333333,High
56,0,Non-Travel,597,Research & Development,20,4,Life Sciences,3,Male,46,2,4,Sales Representative,3,Married,16212,25042,7,No,15,3,4,1,20,2,4,17,6,11,0,10+yrs,0.6111111111111112,4053.0,0.09666666666666666,Low
47,0,Non-Travel,306,Research & Development,14,3,Medical,2,Female,80,2,4,Laboratory Technician,1,Single,16795,13430,6,No,13,3,3,3,19,4,1,16,13,16,13,10+yrs,0.9411764705882353,4198.75,0.14333333333333334,Low
31,0,Travel_Rarely,1355,Sales,4,1,Marketing,1,Female,91,3,1,Human Resources,2,Divorced,2901,11272,3,No,12,3,2,0,19,4,3,18,11,13,8,10+yrs,0.6842105263157895,2901.0,0.09333333333333334,Low
51,0,Travel_Rarely,938,Research & Development,11,3,Life Sciences,1,Female,72,2,4,Research Scientist,1,Divorced,8068,24585,4,No,23,4,3,1,23,5,3,19,2,19,2,10+yrs,0.95,2017.0,0.33,Low
20,0,Non-Travel,560,Research & Development,21,2,Medical,4,Female,33,4,3,Healthcare Representative,1,Single,15177,18511,8,No,17,3,4,1,24,3,1,22,8,21,2,10+yrs,0.9130434782608695,5059.0,0.12,Low
34,1,Travel_Frequently,1190,Sales,8,3,Medical,3,Male,41,2,2,Research Scientist,2,Single,11940,13022,2,Yes,18,4,3,1,14,1,2,10,1,4,7,6-10yrs,0.36363636363636365,5970.0,0.87,High
45,1,Travel_Rarely,125,Human Resources,20,2,Other,1,Male,82,2,3,Research Director,3,Divorced,1107,23743,6,Yes,14,3,4,0,12,2,4,11,0,10,9,10+yrs,0.8333333333333334,369.0,0.25333333333333335,Low
18,0,Travel_Rarely,935,Research & Development,4,1,Marketing,1,Female,81,3,3,Human Resources,4,Single,11779,20621,7,Yes,16,3,2,3,18,1,3,15,9,12,0,10+yrs,0.75,3926.3333333333335,0.07333333333333333,Low
47,0,Travel_Rarely,1056,Research & Development,2,1,Other,2,Male,92,1,2,Research Director,1,Single,16285,10695,4,No,16,3,2,2,5,1,2,4,4,0,4,3-5yrs,0.0,8142.5,0.06666666666666667,Low
52,0,Travel_Rarely,1233,Human Resources,11,3,Technical Degree,2,Male,67,3,3,Sales Executive,1,Married,16746,12609,7,No,19,4,4,2,21,1,2,21,10,15,3,10+yrs,0.6818181818181818,5582.0,0.15,Low
42,0,Travel_Rarely,411,Research & Development,7,3,Technical Degree,2,Male,59,4,1,Laboratory Technician,2,Divorced,8293,3184,3,No,13,3,3,2,22,2,4,19,2,15,13,10+yrs,0.75,8293.0,0.09666666666666666,Low
26,0,Travel_Rarely,928,Human Resources,26,2,Other,3,Female,37,4,2,Manufacturing Director,3,Married,5489,4546,7,No,21,3,3,2,18,4,2,15,1,15,9,10+yrs,0.9375,2744.5,0.14333333333333334,Low
49,0,Non-Travel,1174,Research & Development,11,1,Human Resources,1,Female,84,1,4,Research Scientist,4,Single,6881,25859,5,No,16,3,3,2,8,1,1,7,7,0,5,6-10yrs,0.0,1720.25,0.03666666666666667,Low
32,0,Travel_Rarely,1216,Research & Development,13,4,Medical,1,Male,96,1,1,Healthcare Representative,3,Married,6631,3327,0,No,14,3,4,2,11,1,3,8,3,0,6,6-10yrs,0.0,6631.0,0.02666666666666667,Low
48,0,Travel_Rarely,345,Sales,12,1,Medical,3,Female,33,1,3,Sales Executive,3,Married,7584,22918,7,Yes,11,3,3,2,14,0,4,10,0,2,10,6-10yrs,0.18181818181818182,2528.0,0.12666666666666668,Low
44,0,Travel_Rarely,1467,Sales,10,1,Technical Degree,4,Male,64,4,2,Manager,1,Married,6733,7206,6,Yes,12,3,4,3,17,1,1,16,11,9,10,10+yrs,0.5294117647058824,3366.5,0.16333333333333333,Low
21,0,Travel_Frequently,483,Research & Development,27,2,Life Sciences,1,Female,54,2,2,Manager,1,Married,9686,15538,2,No,14,3,1,0,21,2,2,19,10,15,5,10+yrs,0.75,4843.0,0.11333333333333333,Low
22,0,Travel_Frequently,647,Sales,22,3,Life Sciences,2,Male,82,1,1,Manager,1,Married,1776,20056,6,No,21,4,3,2,17,2,2,16,13,8,12,10+yrs,0.47058823529411764,1776.0,0.1,Low
18,1,Travel_Rarely,368,Sales,5,4,Life Sciences,3,Female,83,3,3,Human Resources,3,Married,6228,26779,4,No,22,3,2,0,25,2,1,23,8,19,9,10+yrs,0.7916666666666666,2076.0,0.82,High
21,0,Travel_Rarely,309,Research & Development,7,3,Human Resources,1,Male,45,4,3,Research Director,2,Married,6979,11341,8,No,24,3,1,0,28,1,3,24,7,23,0,10+yrs,0.92,2326.3333333333335,0.19333333333333333,Low
30,0,Travel_Frequently,457,Research & Development,3,4,Marketing,4,Female,96,1,3,Laboratory Technician,1,Married,3913,25127,2,No,15,3,2,3,20,2,2,17,10,9,9,10+yrs,0.5,1304.3333333333333,0.12666666666666668,Low
19,0,Non-Travel,289,Sales,8,3,Life Sciences,1,Male,39,1,2,Manager,3,Married,17680,13352,2,No,19,3,4,1,9,3,1,9,9,6,9,6-10yrs,0.6,8840.0,0.10333333333333333,Low
57,0,Travel_Rarely,1125,Research & Development,20,4,Human Resources,3,Male,84,1,3,Research Director,4,Divorced,13834,23678,0,No,14,3,4,2,17,0,2,14,9,5,12,10+yrs,0.3333333333333333,4611.333333333333,0.09333333333333334,Low
56,1,Non-Travel,936,Human Resources,28,1,Technical Degree,2,Male,81,1,3,Research Director,2,Single,18327,4546,7,No,12,3,2,2,12,5,4,10,4,7,0,6-10yrs,0.6363636363636364,6109.0,0.12,Low
25,1,Travel_Rarely,646,Research & Development,14,1,Human Resources,3,Male,41,1,3,Manager,4,Divorced,11669,8701,8,Yes,18,3,1,0,15,1,4,15,13,7,13,10+yrs,0.4375,3889.6666666666665,0.8166666666666667,High
31,0,Travel_Rarely,865,Research & Development,3,3,Life Sciences,1,Male,77,1,3,Sales Executive,3,Divorced,3083,17575,6,No,20,3,2,1,23,0,3,20,10,15,14,10+yrs,0.7142857142857143,1027.6666666666667,0.13333333333333333,Low
49,0,Travel_Rarely,945,Research & Development,2,4,Other,1,Male,48,3,2,Manufacturing Director,3,Married,18187,19652,3,Yes,21,3,2,0,10,1,2,9,9,5,2,6-10yrs,0.5,9093.5,0.06666666666666667,Low
45,0,Travel_Rarely,357,Sales,13,3,Medical,3,Female,49,1,3,Research Director,4,Single,9703,22086,7,No,12,3,2,1,16,3,4,12,8,10,9,10+yrs,0.7692307692307693,3234.3333333333335,0.11,Low
42,0,Travel_Rarely,515,Research & Development,8,2,Technical Degree,4,Female,36,3,3,Sales Executive,1,Married,14004,10948,2,No,21,4,4,0,5,3,1,1,1,0,1,0-2yrs,0.0,4668.0,0.08666666666666667,Low
59,0,Travel_Rarely,1334,Human Resources,17,2,Technical Degree,3,Female,82,2,4,Manager,4,Divorced,8245,17617,6,Yes,15,3,2,2,21,0,3,18,12,18,0,10+yrs,0.9473684210526315,2061.25,0.15,Low
44,0,Travel_Frequently,116,Research & Development,4,1,Medical,4,Male,86,3,2,Healthcare Representative,4,Single,10391,17518,5,Yes,14,3,1,0,15,2,3,12,9,8,12,10+yrs,0.6153846153846154,5195.5,0.07,Low
46,0,Travel_Rarely,1439,Research & Development,7,2,Marketing,2,Female,65,3,2,Laboratory Technician,4,Married,10297,26615,7,No,11,3,1,1,12,1,3,11,11,8,5,10+yrs,0.6666666666666666,5148.5,0.10666666666666667,Low
39,0,Non-Travel,1450,Human Resources,17,3,Life Sciences,1,Female,84,3,3,Manufacturing Director,3,Divorced,6409,4929,8,No,13,3,3,1,13,5,1,13,13,8,4,10+yrs,0.5714285714285714,2136.3333333333335,0.33,Low
40,0,Travel_Rarely,454,Sales,9,1,Marketing,2,Male,54,4,3,Human Resources,4,Married,11539,2408,3,No,17,3,1,3,5,1,3,5,4,3,3,3-5yrs,0.5,3846.3333333333335,0.04,Low
30,0,Travel_Rarely,548,Research & Development,11,2,Human Resources,4,Male,69,1,2,Manager,4,Single,14940,16373,0,No,13,3,1,3,16,5,3,14,2,8,7,10+yrs,0.5333333333333333,7470.0,0.09,Low
39,0,Non-Travel,389,Research & Development,7,2,Medical,4,Male,85,3,1,Human Resources,4,Married,1384,2391,1,No,15,3,4,1,19,3,4,18,2,15,11,10+yrs,0.7894736842105263,1384.0,0.06,Low
56,0,Non-Travel,884,Sales,2,2,Technical Degree,3,Female,60,2,3,Healthcare Representative,4,Single,3487,6896,6,No,18,3,1,1,12,5,1,8,8,7,8,6-10yrs,0.7777777777777778,1162.3333333333333,0.05333333333333334,Low
33,0,Travel_Frequently,399,Research & Development,11,4,Other,2,Female,73,3,3,Research Director,4,Divorced,17002,14500,3,No,12,3,3,2,4,3,3,3,3,2,3,3-5yrs,0.5,5667.333333333333,0.056666666666666664,Low
23,0,Travel_Frequently,1206,Research & Development,10,4,Medical,3,Male,40,1,4,Manager,2,Married,11823,8695,1,No,23,3,1,2,10,0,4,9,9,3,9,6-10yrs,0.3,2955.75,0.08666666666666667,Low
43,0,Travel_Rarely,642,Research & Development,27,2,Medical,3,Female,65,2,3,Human Resources,3,Married,19499,8660,7,Yes,15,3,4,2,8,3,2,4,0,2,4,3-5yrs,0.4,6499.666666666667,0.11333333333333333,Low
50,0,Travel_Rarely,1454,Sales,26,4,Life Sciences,3,Female,89,4,3,Laboratory Technician,2,Divorced,12488,10656,5,Yes,21,4,3,0,13,2,3,9,0,6,0,6-10yrs,0.6,4162.666666666667,0.14666666666666667,Low
58,1,Travel_Rarely,1294,Research & Development,13,3,Technical Degree,4,Female,84,4,1,Manufacturing Director,4,Married,13414,19162,1,Yes,20,3,4,0,16,4,1,15,10,9,4,10+yrs,0.5625,13414.0,0.85,High
40,0,Travel_Rarely,661,Sales,9,4,Medical,3,Female,51,2,2,Sales Executive,4,Single,18081,11146,6,No,21,4,3,2,2,2,3,2,2,0,0,0-2yrs,0.0,9040.5,0.03666666666666667,Low
51,0,Travel_Rarely,934,Research & Development,13,3,Other,1,Female,68,1,1,Laboratory Technician,4,Divorced,13548,21830,5,No,15,4,2,1,18,1,3,18,7,15,14,10+yrs,0.7894736842105263,13548.0,0.06333333333333334,Low
28,0,Travel_Rarely,134,Sales,18,3,Medical,1,Male,73,3,3,Research Scientist,3,Married,7262,5975,8,Yes,13,3,4,3,7,0,1,5,1,3,5,3-5yrs,0.5,2420.6666666666665,0.08,Low
35,0,Non-Travel,194,Research & Development,12,3,Technical Degree,3,Female,95,2,3,Research Scientist,2,Married,11031,4560,8,No,13,3,4,0,26,4,1,22,1,19,4,10+yrs,0.8260869565217391,3677.0,0.11666666666666667,Low
35,0,Non-Travel,808,Research & Development,22,2,Medical,4,Male,88,2,4,Laboratory Technician,1,Single,5476,6162,8,Yes,14,3,1,0,19,1,3,18,7,12,13,10+yrs,0.631578947368421,1369.0,0.09,Low
31,0,Non-Travel,762,Research & Development,28,3,Medical,4,Female,87,1,3,Research Director,3,Married,7351,24933,8,No,18,3,3,3,6,4,1,6,6,1,6,6-10yrs,0.14285714285714285,2450.3333333333335,0.03333333333333333,Low
48,0,Travel_Frequently,657,Research & Development,12,3,Medical,3,Male,82,2,4,Manufacturing Director,3,Married,13925,8936,7,No,19,4,3,3,15,0,2,14,13,5,14,10+yrs,0.3333333333333333,3481.25,0.16,Low
55,0,Travel_Rarely,226,Sales,4,3,Technical Degree,3,Male,55,1,3,Research Director,3,Single,3830,2748,6,No,21,3,2,2,2,0,1,2,2,0,2,0-2yrs,0.0,1276.6666666666667,0.05333333333333334,Low
31,0,Travel_Rarely,1275,Research & Development,4,1,Life Sciences,4,Female,56,1,4,Research Director,3,Married,13767,9882,4,No,24,3,2,0,4,4,4,2,2,2,2,0-2yrs,0.6666666666666666,3441.75,0.03,Low
23,0,Travel_Frequently,668,Research & Development,26,3,Life Sciences,4,Female,62,3,2,Human Resources,4,Single,12097,19210,7,No,22,3,4,0,25,2,3,23,12,20,3,10+yrs,0.8333333333333334,6048.5,0.12,Low
52,0,Travel_Frequently,758,Research & Development,13,3,Technical Degree,1,Female,59,4,3,Healthcare Representative,1,Married,6859,11049,8,No,15,4,1,3,23,3,4,20,6,18,3,10+yrs,0.8571428571428571,2286.3333333333335,0.06666666666666667,Low
53,0,Travel_Rarely,664,Sales,10,1,Technical Degree,2,Female,97,1,3,Research Director,2,Divorced,1853,11612,1,Yes,17,3,4,1,3,0,1,3,3,0,1,3-5yrs,0.0,617.6666666666666,0.09333333333333334,Low
57,0,Travel_Rarely,796,Research & Development,18,4,Medical,2,Female,91,1,3,Manufacturing Director,3,Divorced,14387,4160,1,Yes,24,3,3,1,9,1,1,7,7,5,5,6-10yrs,0.625,4795.666666666667,0.12333333333333334,Low
28,0,Travel_Rarely,1007,Research & Development,28,4,Marketing,3,Female,92,1,3,Manager,4,Single,16665,18685,4,No,20,3,1,3,4,0,3,4,0,0,4,3-5yrs,0.0,5555.0,0.06666666666666667,Low
48,0,Travel_Rarely,1169,Research & Development,13,3,Marketing,2,Female,72,3,4,Research Director,4,Single,14871,7513,2,No,16,3,2,0,11,1,3,9,4,7,8,6-10yrs,0.7,3717.75,0.11,Low
48,0,Travel_Rarely,869,Research & Development,10,4,Human Resources,2,Male,43,4,1,Research Scientist,4,Single,8997,4440,4,No,22,3,4,1,11,1,4,7,1,2,7,6-10yrs,0.25,8997.0,0.03333333333333333,Low
51,0,Travel_Rarely,332,Sales,26,4,Marketing,1,Female,40,2,2,Sales Executive,4,Married,13417,19870,2,Yes,12,3,3,2,11,2,4,8,8,7,8,6-10yrs,0.7777777777777778,6708.5,0.12,Low
51,0,Travel_Frequently,1324,Human Resources,3,2,Other,1,Male,49,1,3,Research Scientist,4,Single,8880,25427,7,No,20,3,1,3,17,1,4,13,4,4,12,10+yrs,0.2857142857142857,2960.0,0.05333333333333334,Low
58,0,Non-Travel,498,Research & Development,25,4,Medical,2,Female,75,1,3,Sales Representative,3,Single,7806,17263,8,No,24,3,1,1,4,2,1,4,4,0,4,3-5yrs,0.0,2602.0,0.14666666666666667,Low
38,0,Travel_Rarely,122,Research & Development,16,4,Medical,4,Male,55,3,3,Healthcare Representative,1,Divorced,7216,25435,2,No,18,3,4,0,25,5,2,22,9,15,4,10+yrs,0.6521739130434783,2405.3333333333335,0.11666666666666667,Low
21,0,Travel_Frequently,154,Research & Development,1,1,Marketing,2,Male,75,2,1,Laboratory Technician,3,Divorced,5006,12054,6,No,19,4,1,0,22,0,4,18,4,15,6,10+yrs,0.7894736842105263,5006.0,0.09666666666666666,Low
26,0,Non-Travel,1183,Sales,7,4,Life Sciences,1,Male,91,2,4,Sales Representative,3,Married,19417,14985,0,Yes,11,3,3,0,22,5,3,19,5,19,13,10+yrs,0.95,4854.25,0.08333333333333333,Low
55,1,Travel_Rarely,641,Research & Development,20,1,Human Resources,2,Male,53,1,3,Sales Executive,1,Divorced,13658,10929,7,Yes,19,3,4,1,7,2,4,4,4,0,4,3-5yrs,0.0,4552.666666666667,0.30666666666666664,Low
53,0,Travel_Frequently,131,Sales,22,2,Marketing,4,Female,94,4,2,Research Scientist,4,Married,4323,14739,6,No,15,3,1,2,17,3,3,17,1,13,13,10+yrs,0.7222222222222222,2161.5,0.23,Low
18,1,Travel_Rarely,1236,Research & Development,6,4,Marketing,3,Female,65,2,4,Healthcare Representative,3,Married,17435,24322,6,No,24,4,1,1,23,4,1,20,14,11,8,10+yrs,0.5238095238095238,4358.75,0.8233333333333334,High
33,0,Travel_Rarely,526,Human Resources,20,3,Technical Degree,3,Female,86,3,2,Human Resources,4,Divorced,3874,17870,4,Yes,15,3,4,0,8,4,2,4,4,0,4,3-5yrs,0.0,1937.0,0.15666666666666668,Low
28,0,Travel_Rarely,1469,Human Resources,29,2,Life Sciences,1,Male,34,3,1,Sales Representative,1,Single,12279,2667,0,No,15,3,4,2,19,5,4,18,10,13,6,10+yrs,0.6842105263157895,12279.0,0.11333333333333333,Low
31,0,Non-Travel,1331,Human Resources,20,3,Marketing,4,Male,49,1,4,Sales Representative,4,Married,4145,16501,7,No,16,4,3,3,10,5,3,8,1,0,0,6-10yrs,0.0,1036.25,0.12333333333333334,Low
44,0,Non-Travel,167,Research & Development,21,1,Other,1,Male,95,1,2,Sales Representative,2,Single,7863,11430,0,Yes,20,3,1,0,21,0,1,19,7,11,11,10+yrs,0.55,3931.5,0.05,Low
39,0,Travel_Rarely,1066,Sales,6,1,Technical Degree,4,Female,92,4,4,Laboratory Technician,3,Divorced,13512,15588,4,No,24,3,1,2,11,2,1,11,5,7,1,10+yrs,0.5833333333333334,3378.0,0.07333333333333333,Low
